Before,After4weeks,After8weeks,Margarine,log_t1,log_t2,log_t3,BoxCox_t1
6.42,5.83,5.75,B,1.859418118,1.763017,1.749199855,
6.76,6.2,6.13,B,1.91102289,1.824549292,1.81319475,
6.56,5.83,5.71,B,1.880990603,1.763017,1.742219024,
4.8,4.27,4.15,A,1.568615918,1.451613827,1.423108334,
8.43,7.71,7.67,B,2.131796772,2.042518188,2.037316615,
7.49,7.12,7.05,A,2.013568798,1.962907725,1.953027617,
8.05,7.25,7.1,B,2.085672091,1.981001469,1.960094784,
5.05,4.63,4.67,A,1.619388243,1.532556868,1.541159072,
5.77,5.31,5.33,B,1.752672081,1.669591835,1.673351238,
3.91,3.7,3.66,A,1.363537374,1.30833282,1.297463147,
6.77,6.15,5.96,B,1.912501087,1.816452082,1.785070481,
6.44,5.59,5.64,B,1.86252854,1.720979287,1.729884066,
6.17,5.56,5.51,A,1.819698838,1.715598108,1.706564623,
7.67,7.11,6.96,A,2.037316615,1.961502244,1.940179474,
7.34,6.84,6.82,A,1.993338843,1.922787732,1.919859472,
6.85,6.4,6.29,B,1.924248652,1.85629799,1.838961071,
5.13,4.52,4.45,A,1.635105659,1.508511994,1.492904096,
5.73,5.13,5.17,B,1.745715531,1.635105659,1.642872689,
